,PROPERTIES PAGE,property_name,area,address,sell_price,rent_price,bedrooms,living_rooms,years,efficiency_ratio
129,8,No.1 Ho Man Tin Hill,Homantin/Kingspark ,Flat C| Low Floor|  Ho Man Tin Hill Road 1| No.1 Ho Man Tin Hill| Homantin/Kingspark ,$28.00M,$44.000,3.0,2.0,16.0,77.0
130,8,Celestial Heights,Celestial Heights ,Flat 35| High Floor|  Celestial Avenue 35| Phase 1| Celestial Heights| Celestial Heights ,$41.00M,$44.000,4.0,2.0,10.0,77.0
131,8,One Victory,Homantin/Kingspark ,Flat B| Middle Floor|  One Victory| Homantin/Kingspark ,$9.80M,$44.000,2.0,2.0,7.0,63.0
132,8,One Beacon Hill,Kln Tong / Beacon Hill ,Flat E| Low Floor|  Block 06| Phase 2| One Beacon Hill| Kln Tong / Beacon Hill ,$78.00M,$44.000,4.0,2.0,15.0,74.0
133,8,Beverly Villas,Kln Tong / Beacon Hill ,Flat C| High Floor|  Block 09| Beverly Villas| Kln Tong / Beacon Hill ,$20.80M,$44.000,3.0,2.0,38.0,93.0
134,8,The Harbourside,Kowloon Station ,Flat C| Low Floor|  Block 3| The Harbourside| Kowloon Station ,$40.00M,$44.000,3.0,1.0,16.0,74.0
135,8,Homantin Hillside,Hung Hom ,Flat C|  Block 1| Homantin Hillside| Hung Hom ,$11.00M,$44.000,1.0,2.0,3.0,
136,8,Imperial Cullinan,Olympic Station ,Flat D| High Floor|  Block 3 (Imperial Seabank)| Imperial Cullinan| Olympic Station ,$32.00M,$50.000,3.0,2.0,7.0,79.0
137,8,Wan Chai,Causeway Bay ,Flat D|  Tower 3| Phase 2| The Avenue| Admiralty| Wan Chai| Causeway Bay ,$14.00M,$29.000,1.0,,4.0,
138,8,Metro Town,Tseung Kwan O ,Flat G| High Floor|  Tower 2| Phase 1 (Metro Town)| Metro Town| Tseung Kwan O ,$9.60M,$29.000,2.0,2.0,13.0,75.0
139,8,Ultima,Homantin/Kingspark ,Flat D|  Tower 3| Phase 2| Ultima| Homantin/Kingspark ,$58.00M,$29.000,4.0,2.0,3.0,
140,8,Metro Town,Tseung Kwan O ,Flat B| Middle Floor|  Block 9| Phase 2 (Le Point)| Metro Town| Tseung Kwan O ,$13.00M,$29.000,3.0,2.0,11.0,75.0
141,8,Greenfield Terrace,Homantin/Kingspark ,Flat A1| Low Floor|  Blk A| Greenfield Terrace| Homantin/Kingspark ,$12.88M,$29.500,3.0,2.0,40.0,89.0
142,8,Metro Town,Tseung Kwan O ,Flat F| Low Floor|  Tower 1| Phase 1 (Metro Town)| Metro Town| Tseung Kwan O ,$11.70M,$29.500,3.0,2.0,13.0,72.0
143,8,Beacon Heights,Yau Yat Chuen/Shek Kip Mei ,Flat B| High Floor|  Block 04| Phase 4| Beacon Heights| Yau Yat Chuen/Shek Kip Mei ,$14.30M,$33.000,3.0,2.0,32.0,82.0
144,9,The Arcadia,Prince Edward Rd ,Flat B| Middle Floor|  Block 1| The Arcadia| Prince Edward Rd ,$20.00M,$36.000,3.0,2.0,30.0,70.0
145,9,The Leighton Hill,Happy Valley/East Mid Level ,Flat C| Low Floor|  Block 1| The Leighton Hill| Happy Valley/East Mid Level ,$45.00M,$36.000,3.0,2.0,17.0,76.0
146,9,The Altitude,Happy Valley/East Mid Level ,Flat A| Middle Floor|  The Altitude| Happy Valley/East Mid Level ,$53.50M,$36.000,3.0,2.0,8.0,79.0
147,9,Casa Bella,Western/Sheung Wan Central ,Flat A| Middle Floor|  Casa Bella| Western/Sheung Wan Central ,$22.00M,$36.000,3.0,2.0,18.0,70.0
148,9,Jade Garden,Kln Tong / Beacon Hill ,High Floor|  27 La Salle Road| Jade Garden| Kln Tong / Beacon Hill ,$150.00M,$36.000,9.0,3.0,42.0,78.0
149,9,Park Avenue,Olympic Station ,Flat A| Low Floor|  Block 10| Park Avenue| Olympic Station ,$14.00M,$36.000,2.0,2.0,18.0,73.0
150,9,Peace Tower,Western Mid-Levels ,High Floor|  Peace Tower| Western Mid-Levels ,$13.00M,$36.000,3.0,2.0,39.0,
151,9,The Broadville,Happy Valley/East Mid Level ,Flat D| High Floor|  The Broadville| Happy Valley/East Mid Level ,$43.00M,$70.000,3.0,2.0,26.0,79.0
152,9,Fortune Gardens,Western Mid-Levels ,Flat 1| Low Floor|  Block B| Fortune Gardens| Western Mid-Levels ,$23.00M,$43.800,3.0,2.0,31.0,81.0
153,9,Tycoon Court,Western Mid-Levels ,Flat 4| High Floor|  Block A| Phase 2| Tycoon Court| Western Mid-Levels ,$19.80M,$39.800,3.0,,25.0,75.0
154,9,Beverly Villas,Kln Tong / Beacon Hill ,Flat D| High Floor|  Block 05| Beverly Villas| Kln Tong / Beacon Hill ,$28.00M,$39.800,3.0,2.0,38.0,93.0
155,9,Bella Vista,Western Mid-Levels ,Flat B| High Floor|  Bella Vista| Western Mid-Levels ,$10.00M,$39.800,2.0,2.0,19.0,66.0
156,9,Ocean Shores,Tseung Kwan O ,Flat H| High Floor|  Block 12| Phase 3| Ocean Shores| Tseung Kwan O ,$9.50M,$39.800,,,16.0,73.0
157,9,Morengo Court,Happy Valley/East Mid Level ,Flat B| High Floor|  Morengo Court| Happy Valley/East Mid Level ,$29.80M,$39.800,3.0,2.0,43.0,90.0
158,9,Tung Nam Mansion,Waterloo Road ,Low Floor|  Tung Nam Mans| Tung Nam Mansion| Waterloo Road ,$9.50M,$39.800,3.0,2.0,48.0,71.0
159,9,Ventris Place,Happy Valley/East Mid Level ,Flat 5| Low Floor|  Block C| Ventris Place| Happy Valley/East Mid Level ,$69.00M,$39.800,5.0,2.0,34.0,88.0
